-------------------------------------------------------------
Rarity Scores for Traits:
-------------------------------------------------------------
Hat/Helmet - Cowboy | rarity score = 3744.00 | frequency = 1 / 3744
Vest/Armor - Burrr Scarf | rarity score = 3744.00 | frequency = 1 / 3744
Shirt/Jacket - BBall - Trust | rarity score = 3744.00 | frequency = 1 / 3744
Hat/Helmet - Top Hat | rarity score = 3744.00 | frequency = 1 / 3744
Cape - Royal Red | rarity score = 3744.00 | frequency = 1 / 3744
Vest/Armor - Safety Vest | rarity score = 3744.00 | frequency = 1 / 3744
Hat/Helmet - Energy Dome 2004 | rarity score = 3744.00 | frequency = 1 / 3744
Hat/Helmet - Coonskin Cap | rarity score = 3744.00 | frequency = 1 / 3744
Vest/Armor - Lifesaver | rarity score = 3744.00 | frequency = 1 / 3744
Mask - Wrestler Green | rarity score = 3744.00 | frequency = 1 / 3744
Hat/Helmet - Spartan Helmet | rarity score = 3744.00 | frequency = 1 / 3744
Hair - Ponytail Blonde | rarity score = 3744.00 | frequency = 1 / 3744
Balloon - Orange | rarity score = 3744.00 | frequency = 1 / 3744
Hair - Ponytail Ginger | rarity score = 3744.00 | frequency = 1 / 3744
Ninja Outfit - Midnight | rarity score = 1872.00 | frequency = 2 / 3744
Tie - Checkered | rarity score = 1872.00 | frequency = 2 / 3744
Hat/Helmet - Backwards Cap Fly | rarity score = 1872.00 | frequency = 2 / 3744
Tie - Purple | rarity score = 1872.00 | frequency = 2 / 3744
Headband - Rude | rarity score = 1872.00 | frequency = 2 / 3744
Shirt/Jacket - BBall - Z | rarity score = 1872.00 | frequency = 2 / 3744
Hat/Helmet - Racer Yellow | rarity score = 1872.00 | frequency = 2 / 3744
Vest/Armor - VC Vest | rarity score = 1872.00 | frequency = 2 / 3744
Hat/Helmet - LL Bucket | rarity score = 1872.00 | frequency = 2 / 3744
Cape - Royal Purple | rarity score = 1872.00 | frequency = 2 / 3744
Hat/Helmet - Backwards Cap Leather | rarity score = 1872.00 | frequency = 2 / 3744
Background - Burrr | rarity score = 1872.00 | frequency = 2 / 3744
